movie_id,person_id,name,character,gender,cast_order
19995,65731,Sam Worthington,Jake Sully,2,0
19995,8691,Zoe Saldana,Neytiri,1,1
19995,10205,Sigourney Weaver,Dr. Grace Augustine,1,2
19995,32747,Stephen Lang,Col. Quaritch,2,3
19995,17647,Michelle Rodriguez,Trudy Chacon,1,4
19995,1771,Giovanni Ribisi,Selfridge,2,5
19995,59231,Joel David Moore,Norm Spellman,2,6
19995,30485,CCH Pounder,Moat,1,7
19995,15853,Wes Studi,Eytukan,2,8
19995,10964,Laz Alonso,Tsu'Tey,2,9
19995,95697,Dileep Rao,Dr. Max Patel,2,10
19995,98215,Matt Gerald,Lyle Wainfleet,2,11
19995,154153,Sean Anthony Moran,Private Fike,2,12
19995,397312,Jason Whyte,Cryo Vault Med Tech,2,13
19995,42317,Scott Lawrence,Venture Star Crew Chief,2,14
19995,986734,Kelly Kilgour,Lock Up Trooper,2,15
19995,1207227,James Patrick Pitt,Shuttle Pilot,0,16
19995,1180936,Sean Patrick Murphy,Shuttle Co-Pilot,0,17
19995,1019578,Peter Dillon,Shuttle Crew Chief,2,18
19995,91443,Kevin Dorman,Tractor Operator / Troupe,0,19
19995,173391,Kelson Henderson,Dragon Gunship Pilot,2,20
19995,1207236,David Van Horn,Dragon Gunship Gunner,0,21
19995,215913,Jacob Tomuri,Dragon Gunship Navigator,0,22
19995,143206,Michael Blain-Rozgay,Suit #1,0,23
19995,169676,Jon Curry,Suit #2,2,24
19995,1048610,Luke Hawker,Ambient Room Tech,0,25
19995,42288,Woody Schultz,Ambient Room Tech / Troupe,0,26
19995,68278,Peter Mensah,Horse Clan Leader,2,27
19995,1207247,Sonia Yee,Link Room Tech,0,28
19995,1207248,Jahnel Curfman,Basketball Avatar / Troupe,1,29
19995,89714,Ilram Choi,Basketball Avatar,0,30
19995,1207249,Kyla Warren,Na'vi Child,0,31
19995,1207250,Lisa Roumain,Troupe,0,32
19995,83105,Debra Wilson,Troupe,1,33
19995,1207253,Chris Mala,Troupe,0,34
19995,1207251,Taylor Kibby,Troupe,0,35
19995,1207252,Jodie Landau,Troupe,0,36
19995,1207254,Julie Lamm,Troupe,0,37
19995,1207257,Cullen B. Madden,Troupe,0,38
19995,1207259,Joseph Brady Madden,Troupe,0,39
19995,1207262,Frankie Torres,Troupe,0,40
19995,1158600,Austin Wilson,Troupe,1,41
19995,983705,Sara Wilson,Troupe,1,42
19995,1207263,Tamica Washington-Miller,Troupe,0,43
19995,1145098,Lucy Briant,Op Center Staff,1,44
19995,33305,Nathan Meister,Op Center Staff,2,45
19995,1207264,Gerry Blair,Op Center Staff,0,46
19995,33311,Matthew Chamberlain,Op Center Staff,2,47
19995,1207265,Paul Yates,Op Center Staff,0,48
19995,1207266,Wray Wilson,Op Center Duty Officer,0,49
19995,54492,James Gaylyn,Op Center Staff,2,50
19995,1207267,Melvin Leno Clark III,Dancer,0,51
19995,1207268,Carvon Futrell,Dancer,0,52
19995,1207269,Brandon Jelkes,Dancer,0,53
19995,1207270,Micah Moch,Dancer,0,54
19995,1207271,Hanniyah Muhammad,Dancer,0,55
19995,1207272,Christopher Nolen,Dancer,0,56
19995,1207273,Christa Oliver,Dancer,0,57
19995,1207274,April Marie Thomas,Dancer,0,58
19995,1207275,Bravita A. Threatt,Dancer,0,59
19995,1207276,Colin Bleasdale,Mining Chief (uncredited),0,60
19995,107969,Mike Bodnar,Veteran Miner (uncredited),0,61
19995,1207278,Matt Clayton,Richard (uncredited),0,62
19995,147898,Nicole Dionne,Nav'i (uncredited),1,63
19995,1207280,Jamie Harrison,Trooper (uncredited),0,64
19995,1207281,Allan Henry,Trooper (uncredited),0,65
19995,1207282,Anthony Ingruber,Ground Technician (uncredited),2,66
19995,1207283,Ashley Jeffery,Flight Crew Mechanic (uncredited),0,67
19995,98216,Dean Knowsley,Samson Pilot,0,68
19995,1201399,Joseph Mika-Hunt,Trooper (uncredited),0,69
19995,236696,Terry Notary,Banshee (uncredited),0,70
19995,1207287,Kai Pantano,Soldier (uncredited),0,71
19995,1207288,Logan Pithyou,Blast Technician (uncredited),0,72
19995,1207289,Stuart Pollock,Vindum Raah (uncredited),0,73
19995,584868,Raja,Hero (uncredited),0,74
19995,1207290,Gareth Ruck,Ops Centreworker (uncredited),0,75
19995,1062463,Rhian Sheehan,Engineer (uncredited),0,76
19995,60656,T. J. Storm,Col. Quaritch's Mech Suit (uncredited),0,77
19995,1207291,Jodie Taylor,Female Marine (uncredited),0,78
19995,1186027,Alicia Vela-Bailey,Ikran Clan Leader (uncredited),1,79
19995,1207292,Richard Whiteside,Geologist (uncredited),0,80
19995,103259,Nikie Zambo,Na'vi (uncredited),0,81
19995,42286,Julene Renee,Ambient Room Tech / Troupe,1,82
285,85,Johnny Depp,Captain Jack Sparrow,2,0
285,114,Orlando Bloom,Will Turner,2,1
285,116,Keira Knightley,Elizabeth Swann,1,2
285,1640,Stellan Skarsgård,"William ""Bootstrap Bill"" Turner",2,3
